,no,economic,figure,stratgy,rule,puzzle,party,sum_score,
,,,,,,,,,70
1,174430,4.642857143,4.84375,4.305555556,4.871794872,5,5,28.66395757,8.484848485
2,96848,4.642857143,4.6875,4.583333333,4.487179487,4.655172414,4.62962963,27.68567201,12.17391304
3,182028,5,4.84375,4.861111111,4.615384615,4.310344828,4.62962963,28.26022018,6.666666667
4,220308,5,4.84375,4.861111111,4.743589744,4.310344828,5,28.75879568,33.15789474
5,12333,4.642857143,4.6875,5,4.743589744,4.482758621,5,28.55670551,2.692307692
6,3076,4.821428571,4.84375,4.722222222,4.743589744,4.482758621,5,28.61374916,6.666666667
7,161936,4.821428571,5,4.861111111,4.615384615,4.655172414,4.814814815,28.76791153,10
8,173346,4.642857143,5,4.861111111,4.615384615,4.482758621,4.814814815,28.4169263,7
9,31260,4.821428571,4.84375,4.861111111,5,4.655172414,4.62962963,28.81109173,17.5
10,84876,4.642857143,4.6875,4.861111111,4.358974359,5,5,28.55044261,16.66666667
11,181289,4.642857143,5,4.722222222,4.487179487,4.310344828,4.62962963,27.79223331,4.117647059
12,224517,4.821428571,5,4.861111111,4.487179487,4.482758621,4.814814815,28.46729261,14
13,124742,4.642857143,5,5,4.615384615,4.655172414,4.62962963,28.5430438,10.5
14,248562,4.642857143,4.84375,4.583333333,4.487179487,4.827586207,4.62962963,28.0143358,12.17391304
15,126163,4.642857143,4.84375,4.722222222,4.743589744,4.310344828,4.814814815,28.07757875,3.684210526
16,36218,4.821428571,4.84375,4.861111111,4.358974359,4.655172414,4.814814815,28.35525127,11.66666667
17,205637,4.642857143,4.84375,4.583333333,4.871794872,4.827586207,4.814814815,28.58413637,7.5
18,251247,4.821428571,5,5,4.871794872,4.310344828,5,29.00356827,21
19,125153,5,4.84375,4.861111111,4.487179487,4.482758621,4.62962963,28.30442885,7.368421053
20,35677,5,4.84375,5,4.615384615,4.310344828,4.814814815,28.58429426,6.666666667
21,28720,4.821428571,5,4.861111111,4.487179487,4.482758621,4.62962963,28.28210742,10.5
22,120677,4.821428571,4.84375,4.861111111,4.615384615,4.310344828,5,28.45201913,25.78947368
23,177736,4.821428571,5,5,4.615384615,4.655172414,4.814814815,28.90680042,9.545454545
24,102680,4.642857143,5,5,4.358974359,4.655172414,4.62962963,28.28663355,7.368421053
25,148228,4.642857143,5,4.861111111,4.487179487,4.482758621,4.62962963,28.10353599,7.777777778
26,128882,4.642857143,4.84375,4.583333333,4.487179487,4.482758621,4.814814815,27.8546934,3.043478261
27,215,4.642857143,4.84375,4.861111111,4.358974359,5,4.62962963,28.33632224,3.5
28,102794,4.821428571,4.84375,4.861111111,4.743589744,4.482758621,4.62962963,28.38226768,7
29,150145,4.642857143,4.84375,4.722222222,4.358974359,4.655172414,4.62962963,27.85260577,0
