Closed Drafting,Contracts,Enclosure,End Game Bonuses,Hand Management,Hexagon Grid,Income,Set Collection,Solo / Solitaire Game,Take That,Tech Trees / Tech Tracks,Tile Placement,Turn Order: Progressive,Variable Player Powers,Variable Set-up,Victory Points as a Resource,,,,,
Action Queue,Action Retrieval,Campaign / Battle Card Driven,Card Play Conflict Resolution,Communication Limits,Cooperative Game,Critical Hits and Failures,Deck Construction,"Deck, Bag, and Pool Building",Grid Movement,Hand Management,Hexagon Grid,Legacy Game,Modular Board,Once-Per-Game Abilities,Role Playing,Scenario / Mission / Campaign Game,Simultaneous Action Selection,Solo / Solitaire Game,Storytelling,Variable Player Powers
Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,Grid Movement,Hand Management,Hexagon Grid,Modular Board,Open Drafting,Role Playing,Solo / Solitaire Game,Variable Player Powers,,,,,,,,,,
Action Points,Auction/Bidding,Auction: Dutch,Events,Income,Open Drafting,Take That,,,,,,,,,,,,,,
Contracts,End Game Bonuses,Hexagon Grid,Income,Modular Board,Network and Route Building,Solo / Solitaire Game,Tech Trees / Tech Tracks,Turn Order: Pass Order,Variable Player Powers,Variable Set-up,Victory Points as a Resource,,,,,,,,,
Action/Event,Advantage Token,Area Majority / Influence,Campaign / Battle Card Driven,Dice Rolling,Events,Hand Management,Simulation,Simultaneous Action Selection,Sudden Death Ending,Tug of War,,,,,,,,,,
Action Drafting,End Game Bonuses,Follow,Hidden Victory Points,Increase Value of Unchosen Resources,Turn Order: Progressive,Variable Phase Order,,,,,,,,,,,,,,
Action Points,Cooperative Game,Hand Management,Legacy Game,Point to Point Movement,Set Collection,Trading,Variable Player Powers,,,,,,,,,,,,,
Layering,Open Drafting,Set Collection,Sudden Death Ending,Tug of War,Variable Player Powers,,,,,,,,,,,,,,,
Automatic Resource Growth,Closed Drafting,Enclosure,Hand Management,Increase Value of Unchosen Resources,Solo / Solitaire Game,Turn Order: Claim Action,Variable Player Powers,Worker Placement,,,,,,,,,,,,
Dice Rolling,End Game Bonuses,Grid Coverage,Hexagon Grid,Pattern Building,Set Collection,Tile Placement,Turn Order: Stat-Based,Variable Set-up,Worker Placement with Dice Workers,,,,,,,,,,,
Network and Route Building,Variable Player Powers,,,,,,,,,,,,,,,,,,,
Hand Management,Income,Loans,Market,Network and Route Building,Tech Trees / Tech Tracks,Turn Order: Stat-Based,Variable Set-up,,,,,,,,,,,,,
Action Points,Deck Construction,Hand Management,Race,Secret Unit Deployment,Take That,Variable Player Powers,,,,,,,,,,,,,,
Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,Grid Movement,Hand Management,Modular Board,Open Drafting,Role Playing,Solo / Solitaire Game,Tile Placement,Variable Player Powers,,,,,,,,,,
Bias,End Game Bonuses,Turn Order: Claim Action,Worker Placement,,,,,,,,,,,,,,,,,
"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Take That,Variable Set-up,,,,,,,,,,,,,,,,
Action Points,Area Movement,Communication Limits,Cooperative Game,Deck Construction,Events,Hand Management,Map Deformation,Modular Board,Push Your Luck,Role Playing,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Stat Check Resolution,Variable Player Powers,,,,,,
Action Drafting,Contracts,End Game Bonuses,Income,Network and Route Building,Solo / Solitaire Game,Turn Order: Stat-Based,Variable Player Powers,Variable Set-up,Worker Placement,,,,,,,,,,,
Commodity Speculation,Investment,Set Collection,Solo / Solitaire Game,Worker Placement,,,,,,,,,,,,,,,,
Automatic Resource Growth,End Game Bonuses,Increase Value of Unchosen Resources,Loans,Ownership,Solo / Solitaire Game,Worker Placement,,,,,,,,,,,,,,
Hand Management,Income,Loans,Market,Network and Route Building,Tech Trees / Tech Tracks,Turn Order: Stat-Based,,,,,,,,,,,,,,
End Game Bonuses,Hexagon Grid,Income,Increase Value of Unchosen Resources,Network and Route Building,Tech Trees / Tech Tracks,Turn Order: Pass Order,Variable Player Powers,Variable Set-up,Victory Points as a Resource,,,,,,,,,,,
Automatic Resource Growth,Dice Rolling,Grid Coverage,Income,Push Your Luck,Solo / Solitaire Game,Tile Placement,Turn Order: Pass Order,Worker Placement,,,,,,,,,,,,
Area Movement,Hand Management,Mancala,Open Drafting,Set Collection,,,,,,,,,,,,,,,,
Contracts,Open Drafting,Race,Set Collection,,,,,,,,,,,,,,,,,
Finale Ending,Hidden Roles,Roles with Asymmetric Information,Simultaneous Action Selection,Team-Based Game,Traitor Game,Variable Player Powers,Voting,,,,,,,,,,,,,
Hand Management,Ladder Climbing,Predictive Bid,Team-Based Game,Trick-taking,,,,,,,,,,,,,,,,
Automatic Resource Growth,Increase Value of Unchosen Resources,Solo / Solitaire Game,Tile Placement,Turn Order: Claim Action,Worker Placement,,,,,,,,,,,,,,,
Predictive Bid,Trick-taking,,,,,,,,,,,,,,,,,,,
Dice Rolling,Open Drafting,Variable Player Powers,Worker Placement,Worker Placement with Dice Workers,,,,,,,,,,,,,,,,
Action Drafting,Contracts,Dice Rolling,End Game Bonuses,Hand Management,Once-Per-Game Abilities,Set Collection,Variable Set-up,,,,,,,,,,,,,
Action Points,Area Movement,Dice Rolling,Hand Management,Narrative Choice / Paragraph,Push Your Luck,Semi-Cooperative Game,Storytelling,Trading,Traitor Game,Variable Player Powers,Voting,,,,,,,,,
Action Retrieval,Area Majority / Influence,Automatic Resource Growth,Campaign / Battle Card Driven,Cooperative Game,Hand Management,Modular Board,Set Collection,Simultaneous Action Selection,Solo / Solitaire Game,Variable Player Powers,Variable Set-up,,,,,,,,,
Area Movement,Cooperative Game,Dice Rolling,Hand Management,Map Addition,Modular Board,Role Playing,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Stat Check Resolution,Team-Based Game,Traitor Game,Variable Player Powers,,,,,,,,
Contracts,Dice Rolling,Income,Point to Point Movement,Resource to Move,Turn Order: Claim Action,Variable Player Powers,Variable Set-up,Worker Placement with Dice Workers,,,,,,,,,,,,
Action Points,Cooperative Game,Dice Rolling,Point to Point Movement,Role Playing,Solo / Solitaire Game,Stat Check Resolution,Variable Player Powers,,,,,,,,,,,,,
Hand Management,Income,Loans,Market,Network and Route Building,Tech Trees / Tech Tracks,Turn Order: Stat-Based,,,,,,,,,,,,,,
"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,,,,,,,,,,,,,,,,,,
Area Majority / Influence,Dice Rolling,,,,,,,,,,,,,,,,,,,
