욜로게임즈,세종특별자치시 갈매로 351 에비뉴힐 2123호
하얀책상 도안2호점,대전 유성구 원신흥로55번길 66-23 1층
대전보드게임카페타운,대전 유성구 대학로151번길 28 3층
보드플렉스,대전 서구 둔산로 32-11 4층
메카,대전 유성구 대학로151번길 8 지하1층
레드버튼 은행점,대전 중구 중앙로164번길 7 지하 1층
히어로보드게임카페 복합터미널점,대전 동구 동서대로 1688 빅플러스타워 2층
체스카페,대전 서구 둔산중로 40
태기보드게임카페,대전 대덕구 한남로12번길 27
홈즈앤루팡 보드게임카페 대전은행점,대전 중구 중앙로156번길 10 3층
정글비 청주지웰시티점,충북 청주시 흥덕구 대농로 39 엘케이트리플렉스 205호
카페코나,대전 서구 도산로369번길 92 2층
카페코나 괴정2호점,대전 서구 용문로 36-1 2층
더홀릭보드게임카페 충북대점,충북 청주시 서원구 1순환로674번길 3 23층
한국보드,대전 대덕구 대덕대로1504번길 43
라이트앤게임즈,대전 서구 도안남로 142 도안프라자 2층
홈즈앤루팡,충북 청주시 상당구 상당로81번길 26 3층
정글비 분평점,충북 청주시 서원구 1순환로1107번길 21 조은주차빌딩 201호
탑,대전 동구 홍도로33번길 74-12 2층
보드막보드카페 은행점,대전 중구 중앙로164번길 26 2층
두더지하,대전 중구 중앙로164번길 37 지하1층
잼보드게임,대전 중구 대둔산로 397
프렌즈,대전 동구 동대전로 139 3층
모노폴리보드게임,충북 청주시 서원구 1순환로672번길 62 지하1층
보드플렉스,충북 청주시 상당구 성안로 19-2 4층
런보드카페,충북 청주시 서원구 1순환로672번길 46
정글비 청주오창점,충북 청주시 청원구 오창읍 중심상업1로 20 엘케이트리플렉스2 201호
케이아레나,충북 청주시 청원구 1순환로 134 4층
레드박스,충남 아산시 배방읍 호서로 234
보드게임카페 레드버튼 천안점,충남 천안시 동남구 만남로 48 알지비빌딩 7층 701호
스페이스공간,충남 천안시 서북구 불당33길 36 천아빌딩 4층
드림보드게임장,충남 논산시 계백로 1178
킹덤보드게임카페,충남 천안시 동남구 먹거리11길 25 4층
홈즈앤루팡 천안점,충남 천안시 동남구 만남로 28 5층
큐브트리,충남 천안시 동남구 먹거리11길 36 3층
놀러와다락방,경기 평택시 비전5로 20-45 좋은프라자2 401호
마스터홀덤라운지앤펍,충남 천안시 서북구 성정공원5로 26 4층 402호
하얀책상 홍성점,충남 홍성군 홍성읍 홍성천길 166
리플레이보드게임카페,경기 평택시 비전5로 20-25 3층
더홀릭보드게임카페 평택역점,경기 평택시 평택2로10번길 8 4층
정글비 평택용죽점,경기 평택시 용죽3로 22 여유빌딩 2층
조커보드게임,경기 평택시 평택2로10번길 34 스타로데오 7층
보스카페,경기 안성시 석정2길 22 2층
탑스홀덤토너먼트카페,경기 평택시 비전5로 20-51 5층 502호
세븐보드카페,경기 안성시 대덕면 내리1길 3 1층
갬블고니카페,경기 평택시 평남로 1053 3층
카페1215,충남 홍성군 홍성읍 조양로143번길 33
올인홀덤카페,경기 안성시 석정1길 8
쓰리랑보드카페,경기 평택시 비전6길 20
드라굿즈카페,경기 평택시 관광특구로 11 1층
로티플보드카페,경기 평택시 관광특구로 13 4층
홀덤천국,경기 평택시 고덕중앙로 200-4 우성고덕타워 2층 205206호
블랙클로버,경기 평택시 고덕국제대로 7 3층
온앤오프,전북 전주시 덕진구 명륜3길 14 1동 3층
보드박스,전북 전주시 덕진구 명륜3길 10-2 2층
보드막보드게임카페,전북 전주시 완산구 전주객사5길 30-2 1층
수다,전북 전주시 완산구 전주객사5길 47 로얄타운 2층
띵,전북 군산시 나운로 66 201호
